-7.710	34.159	-3.813	41.486	5.525	18.624	7.316	21.019	7.121	18.926
-16.889	45.055	4.601	50.490	-17.451	38.982	-35.274	47.534	11.103	43.071
-18.389	43.222	-5.591	45.703	-8.498	45.450	-12.104	44.252	-8.479	43.603
-2.938	43.707	-31.928	46.761	-21.330	41.478	-5.325	47.158	-11.553	43.247
9.290	19.754	8.841	44.901	7.410	37.631	-2.906	43.903	-5.581	45.637
55.042	64.629	77.239	15.179	26.130	33.595	5.746	19.735	9.368	18.207
132.680	134.260	120.710	138.090	131.120	117.620	135.060	103.370	100.960	118.820
29.363	32.124	50.128	70.833	81.277	98.510	104.440	120.500	129.560	120.390
-13.518	7.076	-42.382	3.278	-32.558	-71.296	1.516	7.110	8.771	13.650
-34.247	-17.991	-5.226	6.054	-9.429	-2.808	0.812	-22.341	-10.169	14.988
