-0.173	-0.124	0.071	0.120	0.218	0.316	0.413	0.609	0.658	0.853	1.049	1.196	1.391	1.538	1.636	1.831	1.929	1.929	1.978	1.978	1.978	1.929	1.929	1.684	1.684	1.636	1.489	1.391	1.196	1.196	1.049	0.853	0.756	0.511	0.413	0.218	0.071	-0.027	-0.271	-0.564
-0.027	-0.027	0.071	0.120	0.218	0.218	0.413	0.609	0.658	0.951	1.098	1.293	1.538	1.636	1.684	1.978	1.978	2.076	2.076	2.076	1.978	1.978	2.076	1.978	1.929	1.684	1.636	1.538	1.489	1.293	1.098	1.049	0.853	0.658	0.609	0.413	0.218	0.120	-0.124	-0.418
-0.027	0.071	0.120	0.120	0.120	0.071	0.120	0.511	0.756	0.951	1.196	1.489	1.636	1.929	1.978	2.076	2.173	2.173	2.271	2.271	2.271	2.173	2.173	2.173	2.076	1.929	1.929	1.684	1.636	1.489	1.293	1.196	1.049	0.853	0.658	0.511	0.413	0.316	0.071	-0.124
0.120	0.120	0.218	0.218	0.413	0.511	0.413	0.218	0.609	0.853	1.196	1.489	1.684	1.978	2.076	2.271	2.369	2.418	2.516	2.418	2.516	2.418	2.418	2.369	2.271	2.173	2.076	1.978	1.831	1.684	1.538	1.391	1.196	1.098	0.853	0.756	0.511	0.316	0.218	0.071
0.218	0.120	0.218	0.218	0.120	0.413	0.511	0.511	0.120	0.316	1.049	1.489	1.831	2.076	2.271	2.418	2.516	2.711	2.711	2.760	2.711	2.711	2.711	2.564	2.564	2.418	2.369	2.173	2.076	1.929	1.684	1.636	1.489	1.196	1.049	0.853	0.658	0.511	0.316	0.120
0.413	0.511	0.316	0.120	0.511	0.658	0.756	1.049	0.951	0.658	0.413	1.196	1.831	2.173	2.418	2.711	2.858	2.956	3.053	3.053	3.053	3.053	2.956	2.858	2.760	2.711	2.516	2.418	2.271	2.076	1.978	1.831	1.636	1.489	1.293	1.049	0.853	0.609	0.511	0.316
0.609	0.756	0.951	1.391	1.049	0.853	1.293	1.196	1.489	1.391	1.293	0.658	1.538	2.173	2.516	2.858	3.053	3.151	3.298	3.298	3.298	3.298	3.298	3.200	3.053	3.053	2.858	2.711	2.516	2.369	2.173	1.978	1.929	1.636	1.489	1.293	1.049	0.853	0.609	0.511
0.853	0.951	1.098	1.489	1.684	1.684	1.489	1.831	1.831	2.076	1.929	1.538	1.049	2.076	2.711	2.956	3.200	3.396	3.591	3.591	3.591	3.591	3.591	3.444	3.298	3.200	3.151	2.956	2.760	2.564	2.418	2.173	1.978	1.929	1.636	1.489	1.196	1.049	0.853	0.658
1.049	1.098	1.391	1.636	1.831	1.978	2.076	1.929	2.418	2.271	2.564	2.369	1.831	1.831	2.711	3.151	3.396	3.640	3.640	3.836	3.738	3.738	3.738	3.738	3.591	3.444	3.396	3.151	3.053	2.858	2.711	2.418	2.271	2.076	1.929	1.636	1.489	1.196	0.951	0.756
1.196	1.293	1.538	1.684	1.978	2.271	2.516	2.271	2.516	2.956	2.858	3.151	2.564	1.684	2.711	3.200	3.591	3.738	3.933	4.080	4.031	4.031	4.031	3.933	3.836	3.640	3.591	3.444	3.200	3.053	2.858	2.564	2.418	2.173	1.978	1.831	1.636	1.391	1.196	1.049
1.293	1.391	1.636	1.929	2.173	2.271	2.369	2.516	2.418	2.711	2.956	3.151	3.298	2.418	2.564	3.396	3.640	3.933	4.031	4.178	4.178	4.227	4.227	4.178	4.080	3.836	3.836	3.640	3.444	3.298	3.151	2.858	2.564	2.418	2.173	1.978	1.831	1.538	1.391	1.098
1.489	1.636	1.929	2.076	2.271	2.369	2.516	2.516	2.711	2.858	3.151	3.396	3.591	2.858	2.516	3.444	3.836	4.080	4.227	4.422	4.422	4.520	4.520	4.422	4.324	4.178	4.031	3.836	3.640	3.444	3.298	3.053	2.760	2.564	2.369	2.076	1.978	1.684	1.538	1.293
1.636	1.831	1.978	2.173	2.369	2.516	2.564	2.858	3.053	3.298	3.444	3.640	3.933	3.396	2.418	3.444	4.031	4.227	4.422	4.716	4.716	4.716	4.618	4.716	4.520	4.324	4.178	4.031	3.836	3.640	3.444	3.298	3.053	2.760	2.516	2.271	2.076	1.929	1.636	1.391
1.684	1.929	2.173	2.369	2.418	2.516
	2.711	2.418	2.711	3.053	3.298	3.640	3.836	3.933	2.858	3.444	4.178	4.422	4.618	4.813	4.813	4.813	4.813	4.813	4.716	4.618	4.324	4.178	4.031	3.836	3.640	3.396	3.151	2.956	2.711	2.418	2.173	1.978	1.684	1.538
1.831	1.929	2.173	2.418	2.564	2.760	2.760	2.564	3.396	3.836	4.080	4.324	4.520	4.618	3.738	3.738	4.324	4.618	4.813	4.862	4.960	4.960	4.960	4.960	4.813	4.716	4.618	4.324	4.178	4.031	3.738	3.591	3.298	3.053	2.760	2.516	2.369	2.076	1.929	1.636
1.929	1.978	2.271	2.418	2.711	2.858	2.858	2.760	3.298	3.933	4.080	4.422	4.716	4.960	3.933	3.933	4.520	4.716	4.862	5.058	5.058	5.058	5.107	4.960	4.960	4.862	4.813	4.520	4.324	4.178	3.933	3.640	3.444	3.200	2.956	2.711	2.369	2.173	1.929	1.684
1.929	2.076	2.271	2.516	2.760	2.858	2.956	2.760	3.444	4.031	4.178	4.227	4.520	4.520	3.836	3.933	4.618	4.813	5.058	5.058	5.107	5.107	5.107	5.107	4.960	4.862	4.813	4.716	4.422	4.227	4.031	3.738	3.591	3.298	2.956	2.760	2.516	2.173	2.076	1.831
1.929	2.076	2.271	2.516	2.760	2.858	2.858	2.858	3.298	3.933	4.080	4.422	4.813	4.862	4.178	4.080	4.716	4.813	5.058	5.058	5.107	5.107	5.107	5.058	5.058	4.960	4.813	4.716	4.520	4.324	4.178	3.836	3.640	3.396	3.151	2.760	2.564	2.271	2.076	1.684
1.929	2.076	2.271	2.516	2.711	2.956	2.858	2.956	3.591	4.227	4.422	4.618	4.716	4.813	4.080	4.178	4.716	4.960	5.204	5.107	5.107	5.204	5.107	5.107	5.058	4.960	4.862	4.716	4.618	4.422	4.178	3.933	3.640	3.444	3.151	2.858	2.516	2.369	2.076	1.929
1.929	1.978	2.271	2.516	2.711	2.858	2.956	2.858	3.396	3.933	4.227	4.520	4.716	4.960	4.178	4.031	4.813	4.960	5.107	5.107	5.058	5.204	5.204	5.204	5.107	4.960	4.862	4.813	4.618	4.520	4.178	4.031	3.738	3.444	3.151	2.858	2.564	2.369	2.076	1.831
1.831	2.076	2.271	2.418	2.711	2.858	2.858	2.858	3.591	4.324	4.422	4.813	4.862	5.058	4.324	4.031	4.716	4.960	5.107	5.107	5.107	5.204	5.204	5.204	5.107	5.058	4.960	4.862	4.618	4.520	4.227	4.031	3.640	3.444	3.200	2.858	2.564	2.369	2.076	1.929
1.684	1.929	2.173	2.369	2.564	2.760	2.760	2.711	3.200	4.080	4.227	4.422	4.716	4.716	3.836	3.836	4.618	4.960	5.058	5.107	5.058	5.107	5.107	5.107	5.107	4.960	4.862	4.813	4.618	4.422	4.227	3.933	3.640	3.444	3.200	2.858	2.516	2.369	2.076	1.929
1.831	1.929	2.076	2.369	2.516	2.564	2.711	2.711	3.444	4.324	4.520	4.862	5.107	5.400	4.716	4.031	4.618	4.862	5.107	5.107	5.058	5.107	5.107	5.058	5.058	4.960	4.862	4.813	4.618	4.324	4.178	3.933	3.640	3.444	3.151	2.858	2.516	2.271	2.076	1.831
1.636	1.831	2.076	2.271	2.369	2.516	2.564	2.564	3.298	4.080	4.227	4.422	4.716	4.960	4.227	3.933	4.618	4.862	5.058	5.107	5.107	5.058	5.058	5.058	5.058	4.862	4.813	4.716	4.520	4.324	4.080	3.836	3.640	3.396	3.151	2.760	2.516	2.271	1.978	1.831
1.489	1.684	1.978	2.076	2.369	2.418	2.516	2.564	3.298	4.080	4.227	4.618	4.862	4.960	4.178	3.738	4.520	4.813	4.862	4.960	4.960	4.960	4.862	4.960	4.960	4.813	4.716	4.618	4.422	4.178	3.933	3.738	3.591	3.200	3.053	2.711	2.418	2.173	1.929	1.684
1.293	1.538	1.831	1.978	2.173	2.173	2.271	2.271	3.200	4.178	4.178	4.520	4.862	5.204	4.716	4.031	4.520	4.813	4.862	4.813	4.813	4.813	4.862	4.862	4.813	4.716	4.520	4.422	4.178	4.031	3.836	3.591	3.396	3.151	2.858	2.564	2.369	2.076	1.831	1.538
1.098	1.293	1.489	1.684	1.831	1.929	1.929	1.831	3.298	4.031	4.324	4.716	4.862	5.107	4.422	4.080	4.422	4.618	4.618	4.618	4.520	4.618	4.618	4.520	4.520	4.422	4.178	4.178	4.031	3.836	3.640	3.396	3.200	2.956	2.760	2.418	2.173	1.929	1.636	1.391
0.853	1.049	1.196	1.391	1.538	1.538	1.538	1.684	3.396	3.591	3.836	4.227	4.324	4.716	3.933	3.836	4.178	4.227	4.227	4.227	4.178	4.178	4.178	4.178	4.080	4.031	3.933	3.738	3.640	3.444	3.298	3.151	2.956	2.564	2.418	2.173	1.929	1.684	1.489	1.196
0.511	0.756	0.951	1.098	1.098	1.098	1.049	1.684	3.151	3.200	3.640	3.933	4.422	4.520	3.591	3.738	3.836	3.933	3.933	3.836	3.836	3.836	3.836	3.836	3.836	3.640	3.591	3.444	3.396	3.200	3.053	2.858	2.516	2.369	2.173	1.978	1.684	1.489	1.196	0.951
0.413	0.511	0.609	0.756	0.756	0.609	0.511	2.418	2.760	2.956	3.444	3.444	4.031	3.933	3.396	3.591	3.591	3.591	3.640	3.640	3.591	3.591	3.640	3.591	3.591	3.444	3.396	3.200	3.053	2.858	2.564	2.418	2.369	2.076	1.929	1.684	1.489	1.196	1.049	0.756
0.071	0.120	0.316	0.413	0.218	0.071	1.636	2.369	2.516	2.956	2.956	3.444	3.836	3.591	3.298	3.396	3.298	3.298	3.396	3.298	3.298	3.298	3.298	3.298	3.200	3.151	2.956	2.858	2.760	2.516	2.418	2.271	1.978	1.929	1.684	1.489	1.196	0.951	0.756	0.511
-0.271	-0.124	-0.173	-0.271	-0.467	0.951	1.684	1.929	2.369	2.418	2.858	3.151	3.298	3.053	3.053	2.956	2.956	2.956	3.053	2.956	3.053	2.956	2.956	2.858	2.858	2.711	2.564	2.516	2.369	2.271	2.076	1.978	1.831	1.636	1.391	1.196	0.951	0.658	0.413	0.218
-0.613	-0.613	-0.907	-0.271	0.951	1.196	1.636	1.929	2.173	2.418	2.564	2.858	2.564	2.516	2.516	2.564	2.564	2.564	2.516	2.564	2.564	2.564	2.516	2.516	2.369	2.369	2.271	2.173	2.076	1.929	1.831	1.636	1.489	1.293	1.098	0.853	0.658	0.511	0.218	-0.027
-1.053	-0.809	0.071	0.511	0.756	1.196	1.293	1.636	1.831	2.076	2.516	2.418	2.076	2.076	2.173	2.173	2.173	2.173	2.173	2.271	2.271	2.271	2.173	2.173	2.076	1.978	1.978	1.929	1.684	1.538	1.489	1.293	1.196	0.951	0.658	0.609	0.413	0.120	-0.027	-0.271
-0.613	-0.418	-0.173	0.120	0.316	0.658	0.853	1.098	1.391	1.831	1.831	1.636	1.538	1.636	1.636	1.636	1.684	1.831	1.929	1.831	1.831	1.831	1.831	1.684	1.684	1.636	1.538	1.489	1.391	1.196	1.098	0.951	0.756	0.609	0.413	0.316	0.071	-0.124	-0.418	-0.564
-0.907	-0.613	-0.418	-0.124	0.120	0.413	0.609	0.853	1.196	1.098	1.049	1.049	1.098	1.098	1.196	1.293	1.293	1.391	1.489	1.538	1.489	1.489	1.391	1.391	1.391	1.391	1.293	1.196	1.049	0.853	0.756	0.609	0.511	0.316	0.218	0.071	-0.173	-0.467	-0.613	-0.809
